"Id_Student"; " Student_sex ";" Carrer ";" Number_Enrollment ";" Number_Repetition ";" Self_Perfomance ";" Group ";" Id_Course ";" Id_Carrer ";" Id_Subject ";" Shared ";" Id_Professor ";" Professor_sex ";" Department ";" C_12 ";" C_13 ";" C_14 ";" C_15 ";" C_16 ";" C_17 ";" C_18 ";" C_19 ";" C_20 ";" C_21 ";" C_22 ";" C_23 ";" C_24 ";" C_25 ";" C_26 ";" C_27 ";" C_28 ";" C_29 ";" C_30 ";" C_31 ";" C_32 ";" C_33 ";" C_34 ";" C_35 ";" C_36_Strength ";" C37_Weaknesses "
3178; 1; " Business Administration "; 10; 1; 3; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 4; 3; 3; 3; 3; 2; 3; 4; 1; 2; 2; 2; 3; 3; 3; 2; 4; 4; 3; 2; 1; 2; 2;;" It lacks clarity and better management of subjects, greater and better management of the capacity of teacher to explain mathematical topics "
3109; 0; " Business Administration "; 10; 3; 5; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 5; 5; 5; 5; 5; 5; 5; 5; 1; 3; 5; 5; 5; 5; 5; 4; 4; 4; 1; 1; 5; 5;" It is an excellent human being, it is very clear and educational, ENSENTIVA ";
3174; 1; " Business Administration "; 2; 1; 2; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 4; 3; 3; 2; 3; 2; 2; 2; 1; 3; 1; 2; 5; 4; 2; 2; 3; 2; 1; 2; 1; 2; 2;;" It is not made understand when it explains the topics, it seems sometimes that it is not clear on the subjects, it makes the class "
3140; 0; " Business Administration "; 12; 3; 4; 19; 520; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 5; 3; 3; 5; 5; 5; 4; 5; 5; 3; 5; 5; 2; 2; 3; 4; 4; 2; 2; 1; 5; 4;" Knowledge that gives you point examples that improve comprehension of the subject ";" The use of time for class and little EXTRA work "
3106; 0; " Business Administration "; 7; 1; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 3; 5; 5; 5; 3; 4; 5; 5; 5; 5; 1; 1; 5; 5; 4; 3; 1; 5; 5; 5; 2; 1; 4; 4;" Clarity when it comes to addressing the topics, examples to explain the topics seen ";
3139; 0; " Business Administration "; 10; 2; 4; 19; 520; 1; 248; 0; 522; 1;" Statistics "; 5; 5; 5; 4; 3; 5; 5; 3; 3; 4; 3; 2; 5; 5; 3; 4; 4; 4; 4; 4; 2; 1; 4; 4;" The teacher has extensive knowledge and always looks for ways to understand all the topics ";" Does not perform EXTRA workshops to work "
3138; 0; " Business Administration "; 5; 1; 3; 19; 520; 1; 248; 0; 522; 1;" Statistics "; 4; 3; 5; 5; 4; 3; 3; 4; 3; 4; 3; 3; 3; 4; 2; 3; 1; 3; 3; 3; 2; 1; 4; 4;" Dominates class topics and resolves questions ";" Non-compliance does not warn when you are not giving class "
9592; 1; " Business Administration "; 2; 1; 1; 3; 83; 1; 43; 0; 497; 1;" Mathematics "; 3; 5; 4; 3; 3; 4; 2; 1; 1; 1; 3; 4; 3; 5; 1; 3; 4; 3; 1; 4; 2; 1; 2; 3;" None ";" Many explanations, does not solve the exercises difficult to clarify doubts "
9528; 1; " Business Administration "; 1; 1; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 2; 4; 2; 1; 2; 4; 4; 3; 1; 1; 1; 1; 4; 2; 2; 3; 3; 5; 1; 1; 2; 3;;" He can't explain, he's wrong about doing the partials. "
9529; 1; " Business Administration "; 1; 1; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 5; 5; 3; 4; 3; 4; 2; 2; 2; 1; 4; 3; 4; 3; 3; 4; 4; 4; 1; 1; 4; 4;" Knowledge of the subject, class management and preparations ";" When you see the matter in an auditorium, it's AMS complex to make sure everyone understand "
9530; 1; " Business Administration "; 2; 1; 3; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 5; 5; 4; 1; 4; 4; 3; 4; 4; 4; 3; 3; 5; 5; 5; 3; 4; 4; 5; 1; 1; 4; 4;;
9531; 1; " Business Administration "; 8; 5; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 5; 5; 5; 2; 3; 4; 2; 2; 2; 3; 3; 4; 5; 4; 2; 4; 4; 4; 4; 1; 1; 4; 3;" It is ACSEQUIBLE, it has no problem in explaining something that is not clear, it is FLEXIBLE ";" Good! "
9532; 1; " Business Administration "; 9; 6; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 5; 5; 5; 5; 2; 4; 2; 1; 1; 2; 1; 1; 4; 2; 4; 4; 4; 4; 4; 4; 1; 1; 5; 4;" The teacher generates an effort for students to understand the subjects through exercises and examples ";" Weaknesses of the subject the little relationship and practical application related to other careers, thus generating a bias and a complex process of learning and understanding of the topics "
10185; 0; " Business Administration "; 7; 5; 3; 23; 99; 1; 43; 0; 532; 0;" Mathematics "; 4; 5; 5; 4; 5; 5; 3; 2; 2; 2; 3; 2; 4; 3; 1; 2; 5; 4; 5; 5; 1; 1; 4; 3;" Better form of communication with the teacher with other means such as mail ";
10357; 0; " Business Administration "; 5; 2; 4; 28; 103; 1; 43; 0; 526; 1;" Mathematics "; 4; 4; 4; 5; 4; 5; 3; 2; 2; 4; 3; 2; 4; 4; 5; 5; 5; 3; 4; 2; 2; 1; 4; 4;" I emphasize the good disposition of the teacher to give the class ";" I emphasize that the teacher shows commitment to his work "
9710; 1; " Business Administration "; 3; 2; 4; 9; 87; 1; 43; 0; 492; 1;" Mathematics "; 5; 5; 5; 5; 5; 5; 5; 5; 4; 5; 1; 1; 5; 5; 1; 1; 3; 5; 5; 1; 2; 1; 5; 5;" is a very self-taught person ";" No
10171; 1; " Business Administration "; 2; 2; 3; 22; 98; 1; 43; 0; 521; 1;" Mathematics "; 4; 5; 5; 5; 5; 5; 5; 4; 4; 5; 3; 3; 5; 5; 3; 2; 5; 5; 4; 4; 1; 1; 5; 4;" The teacher is friendly and always seeks to resolve the doubts that arise so the rematics of the class are clear ";
9496; 0; " Business Administration "; 2; 1; 3; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 5; 4; 3; 3; 1; 2; 2; 3; 3; 3; 1; 1; 2; 1; 4; 3; 3; 3; 4; 4; 1; 1; 3; 3;" Punctuality ";" Lack of clarity on some issues, you should have exercises already resolved to develop in class, do not simply do book Exercises Guide "
9593; 1; " Business Administration "; 3; 2; 5; 3; 83; 1; 43; 0; 497; 1;" Mathematics "; 5; 5; 5; 5; 5; 5; 5; 5; 4; 4; 5; 4; 5; 4; 3; 4; 5; 4; 4; 3; 2; 1; 5; 4;" Knowledge of the subject ";
10170; 1; " Business Administration "; 2; 2; 2; 22; 98; 1; 43; 0; 521; 1;" Mathematics "; 4; 5; 4; 4; 3; 3; 3; 2; 2; 2; 1; 2; 3; 4; 1; 2; 1; 4; 4; 4; 2; 1; 3; 3;" It is an important subject to be able to understand other subjects of greater complexity ";" I think that many people enter this subject with enough BASES "
9646; 1; " Business Administration "; 1; 1; 4; 7; 85; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 5; 4; 2; 4; 4; 5; 4; 3; 2; 2; 4; 5; 4; 4; 5; 4; 4; 4; 2; 1; 3; 3;" Understands and attends the doubts presented during the development of the class ";" Does not deepen for students to understand each subject seen "
9675; 0; " Business Administration "; 3; 3; 3; 8; 86; 1; 43; 0; 500; 1;" Mathematics "; 3; 5; 4; 5; 4; 4; 3; 5; 2; 3; 1; 3; 4; 4; 2; 3; 5; 3; 3; 4; 2; 1; 5; 3;" He worries that students have clear concepts and exercises ";" Sometimes it passes topics that require more time in a very small period. "
9685; 1; " Business Administration "; 2; 1; 2; 8; 86; 1; 43; 0; 500; 1;" Mathematics "; 3; 5; 4; 4; 2; 4; 3; 1; 3; 3; 4; 2; 4; 4; 2; 3; 1; 4; 3; 3; 2; 1; 4; 4;;
10169; 1; " Business Administration "; 1; 1; 3; 22; 98; 1; 43; 0; 521; 1;" Mathematics "; 4; 5; 5; 5; 4; 4; 4; 3; 2; 3; 1; 2; 4; 3; 3; 3; 2; 4; 4; 3; 2; 1; 4; 3;;
9702; 0; " Business Administration "; 2; 1; 4; 9; 87; 1; 43; 0; 492; 1;" "; 5; 5; 5; 5; 5; 5; 5; 5; 4; 5; 1; 1; 5; 5; 5; 5; 5; 5; 5; 4; 2; 1; 5; 4;" Promotes work and group effort to ensure learning is respectful and invites the student to reflect on the importance and effort of UNAL students ";
10172; 1; " Business Administration "; 4; 4; 3; 22; 98; 1; 43; 0; 521; 1;" "; 5; 5; 4; 5; 5; 5; 5; 3; 3; 5; 5; 4; 5; 5; 5; 5; 5; 5; 5; 5; 1; 1; 5; 5;" The teacher is clear, leaves workshops, quizes and constantly encourages SUAR books or programs to solve our doubts ";" Sometimes confusing to explain the issues so you have to resort to other means but have been few times because we can not delve into all the issues covered by the subject, as the time is not enough for these "
9435; 1; " Business Administration "; 1; 1; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 4; 2; 4; 2; 1; 2; 4; 4; 3; 1; 1; 1; 1; 4; 2; 2; 3; 3; 5; 1; 1; 5; 3;;
10117; 0; " Business Administration "; 2; 1; 2; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 4; 5; 5; 4;; 4; 4; 3; 4; 3; 1; 2; 4; 3; 2; 3; 4; 3; 4; 3; 2; 1; 4; 3; The explanation of the topics ";" Support Monitors "
9434; 1; " Business Administration "; 1; 1; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 3; 4; 4; 2; 4; 5; 4; 5; 5; 5; 1; 4; 3; 5; 5; 4; 5; 2; 4; 5; 1; 1; 5; 4;" Punctuality, fulfilled with established time, always had PREPAARDA class ";" Sometimes the need to meet established dates of partials does not allow to clarify doubts "
8747; 1; " Business Administration "; 5; 1; 2; 2; 4; 1; 3; 0; 288; 0;" Mathematics "; 5; 5; 5; 5; 3; 5; 5; 5; 5; 5; 5; 3; 5; 5; 4; 4; 3; 4; 5; 5; 1; 1; 5; 5;" Excellent mastery of the subject ";
9399; 0; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 3; 5; 5; 4; 3; 4; 3; 3; 5; 3; 2; 2; 2; 2; 5; 4; 5; 3; 3; 4; 1; 2; 4; 4;;
9400; 0; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 4; 2; 4; 1; 3; 5; 3; 2; 3; 2; 2; 3; 2; 5; 3; 3; 4; 4; 4; 1; 1; 4; 4;" Availability ";" Lack of explanation and leave ONCONCLUSOS exercises "
9401; 0; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 4; 2; 4; 1; 3; 5; 3; 2; 3; 2; 2; 3; 2; 5; 3; 3; 4; 4; 4; 1; 1; 5; 5;;" Lack of explanation and leave unfinished exercises "
9402; 0; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 5; 4; 3; 3; 1; 4; 5; 3; 3; 3; 1; 1; 2; 1; 4; 3; 3; 3; 4; 4; 1; 1; 4; 4;;
9527; 1; " Business Administration "; 1; 1; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 3; 4; 4; 2; 4; 4; 4; 5; 5; 5; 1; 4; 3; 5; 5; 4; 5; 2; 4; 5; 1; 1; 3; 4;" It is very punctual and direct with LSO themes ";" My way of seeing goes too fast, if you saw a topic and did not understand it touches ahead and understand on their own "
9404; 0; " Business Administration "; 4; 3; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 4; 3; 4; 2; 5; 5; 4; 4; 2; 1; 1; 2; 3; 4; 2; 5; 3; 3; 5; 1; 1; 4; 4;" He is always willing to teach concepts and explain them ";
9497; 0; " Business Administration "; 4; 3; 4; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 3; 4; 2; 4; 2; 4; 4; 2; 1; 1; 2; 3; 4; 2; 5; 3; 3; 5; 1; 1; 2; 4;" Is ACSEQUIBLE the teacher, knows more or less of the topics ";" The fact that it explains in PAINT exercises, makes them complicated and difficult to understand because it has NO good pulse and are daubs. She uses MATERIAL that is not elaborated by her and sometimes she does not understand it. "
9436; 1; " Business Administration "; 1; 1; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 4; 5; 5; 3; 5; 3; 4; 2; 2; 2; 1; 4; 3; 4; 3; 3; 4; 4; 4; 1; 1; 5; 5;;
9437; 1; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 5; 5; 4; 1; 4; 4; 3; 4; 4; 4; 3; 3; 5; 5; 5; 3; 4; 4; 5; 1; 1; 4; 4;;
9438; 1; " Business Administration "; 8; 5; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 4; 5; 5; 5; 2; 4; 5; 2; 2; 2; 3; 3; 4; 5; 4; 2; 4; 4; 4; 4; 1; 1; 5; 4;;
9439; 1; " Business Administration "; 9; 6; 4; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 5; 5; 5; 5; 2; 5; 2; 1; 1; 2; 1; 1; 4; 2; 4; 4; 4; 4; 4; 4; 1; 1; 5; 4;;
9493; 0; " Business Administration "; 2; 1; 3; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 3; 5; 5; 4; 3; 4; 3; 3; 5; 3; 2; 2; 2; 2; 5; 4; 5; 3; 3; 4; 1; 2; 3; 3;;
9494; 0; " Business Administration "; 2; 1; 3; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 2; 4; 1; 3; 3; 3; 2; 3; 2; 2; 3; 2; 5; 3; 3; 4; 4; 4; 1; 1; 3; 3;" Availability ";" Lack of explanation and leave unfinished exercises "
9495; 0; " Business Administration "; 2; 1; 3; 2; 82; 1; 43; 0; 487; 0;" Mathematics "; 4; 4; 2; 4; 1; 3; 3; 3; 2; 3; 2; 2; 3; 2; 5; 3; 3; 4; 4; 4; 1; 1; 3; 3;" Availability ";" Lack of explanation and leave ONCONCLUSOS exercises "
9586; 0; " Business Administration "; 2; 2; 4; 3; 83; 1; 43; 0; 497; 1;" Mathematics "; 4; 4; 4; 5; 4; 5; 5; 5; 5; 5; 2; 2; 3; 2; 2; 3; 2; 4; 4; 4; 1; 1; 4; 4;" The good deal with the students ";" Lack of class preparations "
9403; 0; " Business Administration "; 2; 1; 3; 1; 81; 1; 43; 0; 536; 1;" Mathematics "; 5; 4; 3; 3; 1; 5; 2; 3; 3; 3; 1; 1; 2; 1; 4; 3; 3; 3; 4; 4; 1; 1; 5; 3;" Leave workshops to strengthen the subjects seen in classes ";" In some classes the teacher leaves subject without proper explanation complete "
9898; 1; " Business Administration "; 3; 3; 3; 13; 91; 1; 43; 0; 521; 1;" Mathematics "; 5; 5; 5; 5; 5; 4; 5; 4; 3; 4; 3; 5; 5; 5; 3; 4; 4; 5; 5; 3; 2; 1; 5; 4;" The way to explain is the easiest to understand ";
9946; 0; " Business Administration "; 2; 1; 5; 16; 93; 1; 43; 0; 527; 1;" Mathematics "; 5; 5; 5; 4; 3; 4; 5; 4; 4; 5; 1; 1; 5; 3; 1; 1; 1; 5; 5; 5; 2; 1; 4; 5;" Explains very well the issues and is clear ";" Lack of more enthusiasm to make the class more enjoyable "
10133; 1; " Business Administration "; 2; 2; 4; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 5; 5; 5; 3; 4; 3; 4; 2; 3; 5; 3; 5; 5; 5; 4; 3; 4; 2; 2; 5; 4;" I think he is a very practical teacher and manages an appropriate teaching methodology, additional is to highlight the INTERDICIPLINARIEDAD that gives the matter ";" As such, the differential calculus component contains many topics and sometimes the semester is not enough to properly develop each topic "
10035; 0; " Business Administration "; 1; 1; 4; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 4; 4; 3; 3; 4; 4; 1; 2; 4; 1; 4; 2; 4; 4; 4; 4; 4; 1; 1; 4; 4;" He answers questions, makes workshops for the partial preparations, explains by means of graphs, explains well. ";" The board is very small, sometimes it goes very fast in the explanation "
10058; 1; " Business Administration "; 2; 1; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 5; 5; 5; 5; 4; 5; 5; 5; 5; 1; 2; 4; 5; 5; 5; 5; 4; 4; 3; 1; 1; 4; 4;" Explain and RESULEVE doubts in class ";" Sometimes it goes very fast in the explanation of the topic "
10034; 0; " Business Administration "; 1; 1; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 5; 3; 5; 4; 4; 5; 5; 1; 1; 4; 3; 3; 2;; 1; 1; 4; 2; 2; 4; 4; Has patience, sends exercises is not disrespectful ";" Mostly the deficiency is a cause DL equipment, a tiny board is not suitable for a class of more than 50 students in such a large auditorium, I feel that the teacher speaks very fast and sometimes omits steps "
10132; 1; " Business Administration "; 2; 1; 4; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 4; 4; 5; 4; 4; 4; 4; 2; 2; 4; 4; 4; 4; 5; 5; 5; 4; 1; 1; 5; 5;" Good management of subjects, explains well in class, feedback of tasks and exercises. ";" Sometimes it is believed QYE all the basic themes are already known and there is, in several occasions an explanation of said. "
10057; 1; " Business Administration "; 1; 1; 4; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 5; 5; 5; 4; 5; 4; 4; 5; 5; 2;; 4; 5; 5; 5; 5; 4; 1; 4; 2; 1; 5; 4;;
10131; 1; " Business Administration "; 2; 1; 3; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 5; 5; 4; 4; 5; 3; 4; 1; 3; 5; 5; 5; 4; 4; 3; 3; 4; 2; 1; 5; 4;" It is clear with what he explains and what he does ";" Sometimes the classes are very MONOT0NAS "
10130; 1; " Business Administration "; 2; 1; 2; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 5; 4; 5; 5; 5; 3; 5; 2; 3; 5; 5; 3; 3; 5; 4; 4; 4; 2; 2; 4; 4;" The preparation of the classes ";" Availability of quotas "
10059; 1; " Business Administration "; 6; 2; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 4; 5; 5; 4; 4; 4; 5; 5; 4; 5; 5; 5; 5; 5; 5; 5; 3; 1; 1; 5; 5;" Very practical explanations and makes the themes simple ";" The Monitoris is on a schedule where it is difficult to attend "
9748; 1; " Business Administration "; 4; 3; 3; 10; 88; 1; 43; 0; 463; 1;" Mathematics "; 5; 5; 4; 4; 3; 3; 4; 5; 2; 4; 4; 1; 3; 5; 2; 1; 2; 3; 3; 1; 2; 1; 3; 3;;
9897; 1; " Business Administration "; 2; 1; 5; 13; 91; 1; 43; 0; 521; 1;" Mathematics "; 5; 5; 5; 5; 4; 5; 5; 5; 5; 5; 4; 4; 5; 5; 5; 5; 1; 1; 5; 5;" Clarity on the explanation {on and preparation {on of the theme ";" Improve teacher-Teacher treatment "
10118; 0; " Business Administration "; 2; 1; 3; 21; 97; 1; 43; 0; 524; 1;" Mathematics "; 5; 5; 5; 5; 5; 4; 4; 4; 3; 5; 3; 2; 5; 5; 5; 4; 5; 4; 4; 4; 1; 1; 5; 4;" Explain efficiently, leave workshops and tasks, get enough notes ";" The subjects are treated in a single class, it is necessary to deepen a little. "
10056; 1; " Business Administration "; 1; 1; 4; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 4; 4; 5; 4; 4; 3; 4; 3; 4; 4; 3; 4; 2; 5; 4; 3; 5; 4; 4; 2; 1; 4; 4;" Solve the doubts that one has on the subject ";
9830; 1; " Business Administration "; 5; 3; 3; 12; 90; 1; 43; 0; 485; 0;" Mathematics "; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 3; 3; 3; 4; 4; 4; 2; 1; 5; 5;" He understands everything he says ";" Nothing
9829; 1; " Business Administration "; 1; 1; 4; 12; 90; 1; 43; 0; 485; 0;" Mathematics "; 4; 5; 5; 5; 5; 5; 4; 4; 5; 5; 3; 3; 5; 5; 5; 5; 5; 4; 3; 3; 2; 1; 5; 4;" It explains in an understandable way, each subject seen is backed by a series of exercises that although they are a little complicated is counted with his help for the solution of these. ";" There are too many students watching the subject and therefore the kind of questions per student is little. "
9828; 1; " Business Administration "; 1; 1; 3; 12; 90; 1; 43; 0; 485; 0;" Mathematics "; 4; 5; 5; 5; 5; 5; 5; 5; 5; 5; 2; 1; 5; 3; 3; 3; 5; 5; 4; 5; 1; 2; 5; 5;" She is a very committed teacher and her subject is very complete ";" He missed the use of other learning tools. "
10055; 1; " Business Administration "; 1; 1; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 5; 5; 4; 4; 5; 5; 5; 5; 5; 3; 3; 4; 4; 5; 4; 5; 2; 3; 4; 2; 2; 5; 4;" The teacher has OEDAGOGICAS skills ";" Many students for one subject and one teacher "
10054; 1; " Business Administration "; 1; 1; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 4; 5; 5; 5; 4; 4; 4; 3; 4; 1; 1; 4; 4; 5; 5; 5; 4; 2; 4; 1; 1; 4; 4;" The teacher was practical in using technological mechanisms to dictate the class, he was interested in solving doubts ";" Should give the most orderly information and avoid dictating classes of topics that are not very practical "
10036; 0; " Business Administration "; 4; 3; 3; 20; 96; 1; 43; 0; 524; 1;" Mathematics "; 4; 5; 5; 3; 2; 4; 4; 4; 3; 3; 3; 1; 4; 4; 5; 3; 1; 4; 4; 4; 2; 1; 4; 4;" Knows a lot about the subject ";" The subject is too dense and many of us have flaws in many subjects "
